stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1359,,Papa Giovanni XXIII,,45.517349,12.185987,,,,,,
1360,,Cassa di Risparmio,,45.518600,12.181961,,,,,,
1361,,Civico 169  (Tabina),,45.519402,12.177426,,,,,,
1362,,Incr. via Calvi,,45.520432,12.172472,,,,,,
1363,,Cimitero,,45.521858,12.166010,,,,,,
1364,,Incr.v.Tasso (scuole),,45.522987,12.162656,,,,,,
1365,,Maerne Chiesa,,45.523666,12.158612,,,,,,
1366,,Civico 120,,45.526634,12.156894,,,,,,
1368,,Luneo,,45.492027,12.163081,,,,,,
1370,,bivio Correzzola,,45.234779,12.023730,,,,,,
1371,,Martellago  (sc. Medie),,45.545921,12.158889,,,,,,
1372,,Incr. via Trento,,45.543777,12.167394,,,,,,
1373,,Banca,,45.545643,12.162381,,,,,,
1374,,Martellago Centro,,45.546471,12.158202,,,,,,
1375,,Vempa 2 Extraurbano,,45.482323,12.237676,,,,,,
1376,,Vempa,,45.482304,12.237786,,,,,,
1380,,Fincantieri,,45.476357,12.250622,,,,,,
1381,,Aquae,,45.471931,12.256989,,,,,,
1382,,Righi,,45.470062,12.264036,,,,,,
1392,,Santa Chiara,,45.440994,12.315572,,,,,,
1398,,SFMR Ospedale,,45.513245,12.225361,,,,,,
1399,,SFMR Ospedale,,45.513233,12.225492,,,,,,
1400,,Corsia 1,,45.512962,12.224432,,,,,,
1401,,Corsia 2,,45.512955,12.224361,,,,,,
1405,,SFMR Ospedale,,45.513348,12.225932,,,,,,
1406,,Incr. via Cruto,,45.461475,12.223510,,,,,,
1407,,incr. via Ghega Civico 61,,45.464680,12.225366,,,,,,
1408,,Civico 49  C. Formazione,,45.468185,12.227427,,,,,,
1410,,Civico 35,,45.472946,12.230142,,,,,,
1411,,Incr. Via Durando,,45.477501,12.232762,,,,,,
1412,,Finanza,,45.479996,12.234240,,,,,,
1414,,Incr. via Colombara,,45.456558,12.218300,,,,,,
1415,,Incr.SR11Padana Superiore,,45.451263,12.214230,,,,,,
1417,,Incr. via della Chimica,,45.446018,12.211447,,,,,,
1419,,Chiesa,,45.437027,12.205185,,,,,,
1420,,Marcon SFMR,,45.545563,12.314231,,,,,,
1421,,Incr.v.dell'Elettronica,,45.425079,12.247366,,,,,,
1422,,"Civico 66 ""le chiuse""",,45.428089,12.240620,,,,,,
1423,,Civico 42,,45.428307,12.231270,,,,,,
1424,,Civico 32,,45.429249,12.221783,,,,,,
1425,,"Civico 28 ""scuole""",,45.435242,12.209766,,,,,,
1426,,Sottopasso Romea,,45.438725,12.199763,,,,,,
1429,,Incr. via dell'Erba,,45.446144,12.194242,,,,,,
1430,,Marcon SFMR,,45.545406,12.313919,,,,,,
1431,,prima di v.Mattei,,45.549187,12.310306,,,,,,
1432,,dopo v.Mattei,,45.548939,12.310175,,,,,,
1433,,Dopo cavalcavia,,45.547897,12.330299,,,,,,
1434,,Incr. via Zorzi,,45.456417,12.180250,,,,,,
1435,,Incr. Statale 11,,45.453999,12.179540,,,,,,
1436,,Camping Serenissima,,45.451443,12.183123,,,,,,
1437,,Incr. via della Stazione,,45.448410,12.193731,,,,,,
1438,,Civico 128,,45.448666,12.199621,,,,,,
1439,,Incr. via del Luccio,,45.449188,12.203701,,,,,,
1442,,Silos,,45.434471,12.216965,,,,,,
1444,,Alcoa 1,,45.429951,12.234297,,,,,,
1445,,Alcoa 2,,45.429688,12.240067,,,,,,
1447,,Entrata Centrale Enel,,45.428581,12.247434,,,,,,
1448,,Prima del cavalcavia,,45.547974,12.330210,,,,,,
1450,,Nuova Sirma,,45.444141,12.214549,,,,,,
1451,,Ingresso 4,,45.446564,12.225307,,,,,,
1452,,Ingresso 5,,45.448757,12.232399,,,,,,
1453,,Ingresso 7,,45.449039,12.236317,,,,,,
1459,,Incr. via delle Macchine,,45.474003,12.239252,,,,,,
1465,,Banchina Molini,,45.474693,12.238216,,,,,,
1475,,V.le San Marco,,45.558056,12.300462,,,,,,
1477,,S. Lazzaro Chiesa,,45.653919,12.243081,,,,,,
1478,,S. Lazzaro Chiesa,,45.653755,12.242711,,,,,,
1479,,Incr. via Saccardo,,45.659000,12.246320,,,,,,
1480,,Incr. via Saccardo,,45.658848,12.246485,,,,,,
1481,,Ferrovia,,45.455368,12.173359,,,,,,
1482,,Incr. via Mare Egeo,,45.430626,12.140368,,,,,,
1483,,Incrocio via Mare Egeo,,45.430580,12.140191,,,,,,
1484,,Incr.v.Marovich,,45.482681,12.193038,,,,,,
1485,,Piazza S.Giorgio,,45.485367,12.187555,,,,,,
1486,,Momolo,,45.221397,12.294708,,,,,,
1487,,Ca' Lin Capolinea,,45.535824,12.191459,,,,,,
1495,,Fronte civico 10,,45.389217,12.017684,,,,,,
3666,,Capolinea Zerman,,45.579025,12.271363,,,,,,
3667,,Z.industriale,,45.582977,12.352371,,,,,,
4498,,Cantiere Navale,,45.289604,12.306430,,,,,,
4499,,Cantiere Navale,,45.289619,12.306330,,,,,,
4503,,Cimitero,,45.424324,12.377388,,,,,,
4504,,Civico 1,,45.419327,12.380287,,,,,,
4505,,P.zza Pola,,45.417839,12.378988,,,,,,
4506,,P.zza Pola,,45.418018,12.379490,,,,,,
4507,,Stabilimento Zona A,,45.415440,12.376919,,,,,,
4508,,Stabilimento Zona A,,45.415520,12.377190,,,,,,
4511,,Incr. via Negroponte,,45.415970,12.372196,,,,,,
4512,,Incr. via Lepanto,,45.415840,12.372262,,,,,,
4514,,Distributore,,45.419773,12.374946,,,,,,
4515,,Distributore,,45.420673,12.375587,,,,,,
4516,,Incr. via M. Polo,,45.422520,12.376697,,,,,,
4517,,Incr. via M. Polo,,45.422264,12.376378,,,,,,
4518,,Cimitero,,45.424397,12.377637,,,,,,
4520,,Aeroporto,,45.427120,12.381005,,,,,,
4521,,Chiesa di S.Nicolo',,45.428486,12.380375,,,,,,
4522,,Cimitero,,45.422874,12.382676,,,,,,
4523,,S. Nicolo',,45.430191,12.381992,,,,,,
4524,,SME 2,,45.417561,12.368731,,,,,,
4525,,SME 1,,45.417439,12.368489,,,,,,
4527,,Cimitero,,45.422798,12.382405,,,,,,
4528,,Incr. via Canal,,45.411804,12.366909,,,,,,
4529,,Incr. via Canal,,45.411369,12.366901,,,,,,
4530,,Incr. via Bembo,,45.409149,12.365871,,,,,,
4531,,Incr. via Bembo,,45.409649,12.366213,,,,,,
4532,,Pattinaggio,,45.405556,12.363879,,,,,,
4533,,via Morosini,,45.405663,12.364234,,,,,,
4534,,P.zza S. Antonio,,45.402821,12.361871,,,,,,
4535,,P.zza S. Antonio,,45.403084,12.362309,,,,,,
4536,,Incr. via Sansovino,,45.401276,12.360689,,,,,,
4537,,Incr. via Loredan,,45.401508,12.361128,,,,,,
4538,,Piazzale Torta,,45.399082,12.359012,,,,,,
4539,,Piazzale Torta,,45.399181,12.359373,,,,,,
4540,,Incr. via S.Gallo,,45.398212,12.358964,,,,,,
4541,,Incr. via S.Gallo,,45.398247,12.359227,,,,,,
4542,,Stabilimento Sorriso,,45.398521,12.361918,,,,,,
4543,,Stabilimento Sorriso,,45.398190,12.361495,,,,,,
4544,,Stabilimento Miramare,,45.400845,12.363631,,,,,,
4545,,Stabilimento Miramare,,45.400513,12.363163,,,,,,
4548,,Fronte Mostra del Cinema,,45.405384,12.367559,,,,,,
4549,,Lion's Bar,,45.404995,12.366851,,,,,,
4550,,Incr. via 4 Fontane,,45.408398,12.370925,,,,,,
4551,,Incr.via 4 Fontane,,45.407921,12.370271,,,,,,
4552,,Consorzio Alberghi,,45.411606,12.373806,,,,,,
4553,,Consorzio Alberghi,,45.411327,12.373337,,,,,,
4554,,Hotel Des Bains,,45.413883,12.375796,,,,,,
4555,,Hotel Des Bains,,45.413788,12.375510,,,,,,
4556,,Galoppatoio,,45.397747,12.357951,,,,,,
4557,,Galoppatoio,,45.397907,12.358381,,,,,,
4558,,Canottieri Diadora,,45.396366,12.356903,,,,,,
4559,,Canottieri Diadora,,45.396755,12.357453,,,,,,
4560,,Incr. via dei Giunta,,45.394646,12.355569,,,,,,
4561,,Incr. via dei Giunta,,45.394848,12.356008,,,,,,
4562,,Chiesa S. Ignazio,,45.392471,12.353857,,,,,,
4563,,Incr. via Fuga,,45.392597,12.354213,,,,,,
4564,,Scuola Materna,,45.389816,12.352042,,,,,,
4565,,Vigili del Fuoco,,45.385475,12.348263,,,,,,
4566,,Vigili del Fuoco,,45.385792,12.348770,,,,,,
4567,,Incr. via Alvisopoli,,45.382938,12.346194,,,,,,
4568,,Incr. via Alvisopoli,,45.383129,12.346588,,,,,,
4569,,Incr. via Parri,,45.379070,12.342971,,,,,,
4570,,Incr. via Parri,,45.379635,12.343730,,,,,,
4571,,Incr. via Bassanello,,45.374229,12.338304,,,,,,
4572,,Incr. via Bassanello,,45.374283,12.338650,,,,,,
4573,,Malamocco centro,,45.371658,12.336782,,,,,,
4575,,Malamocco centro,,45.372002,12.336955,,,,,,
4576,,Canada,,45.366581,12.335270,,,,,,
